block,register,field,type,unit,scale,since,description
Measurement result block,1073,rxGain2,U16,,,,Receive gain stage 2
Measurement result block,1074,upTime,U32,s,,,Seconds since power-on. Useful for detecting an unexpected restart.
Measurement result block,1076,oneCycleCostTime,U16,ms,,,Duration of one measurement cycle. Poll no faster than this.
Measurement result block,1077,echoReadAddress,U16,,,,Waveform buffer read address
Measurement result block,1078,echoLength,U16,,,,Waveform buffer length
Measurement result block,1079,stepSize,U16,,,,Waveform sample step
Measurement result block,1080,inputMin,U16,mV,,,Input range minimum
Measurement result block,1081,inputMax,U16,mV,,,Input range maximum
Measurement result block,1082,outputMin,U16,mV,,,Output range minimum
Measurement result block,1083,outputMax,U16,mV,,,Output range maximum
Measurement result block,1084,sampleFrequency,U16,kHz,,,Waveform sampling frequency
Measurement result block,1085,echoOffsetTime,U16,us,,,Waveform window offset
Measurement result block,1086,echoLengthTime,U16,us,,,Waveform window length
Measurement result block,1104,gasIndex,U16,,,SW 4.x,"Entrained-gas index, 0-100. 0 = no gas detected. Instantaneous value - a single bubble crossing the beam can spike it. Derived from frame-to-frame variance, not from absolute echo amplitude, which is what lets it separate 'more bubbles' from 'more solids'."
Measurement result block,1113,gasIndexEma,U16,,,SW 4.x,Time-smoothed entrained-gas index. This is the one to alarm on: it ignores isolated bubbles and responds to sustained gas. The instrument's own bubble flag is driven by this value exceeding its threshold for consecutive cycles.
History,7990,historyCapacity,U16,,,,Number of history records the instrument can hold. Self-describing: read this before walking the history area. Firmware without this register answers exception 02.
